"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1866","Check displaying dashboard page","LMS system","2026-08-17","passed","2026-08-17","Dashboard","Dashboard","",""
"","0","test_login","tests.pytest","2026-08-17","passed","2026-08-17","TestUserAuthentication","test_markers","",""
"","0","test_logout","tests.pytest","2026-08-17","passed","2026-08-17","TestUserAuthentication","test_markers","",""
"","1582","Navigation from login page to registration page","LMS system","2026-08-17","passed","2026-08-17","Authorization","Authentication","",""
"","0","test_password_reset","tests.pytest","2026-08-17","passed","2026-08-17","TestUserAuthentication","test_markers","",""
"","1768","User login with wrong email or password","LMS system","2026-08-17","passed","2026-08-17","Authorization","Authentication","",""
"","0","test_regression_case","tests.pytest","2026-08-17","passed","2026-08-17","","test_markers","",""
"","0","test_smoke_and_regression","tests.pytest","2026-08-17","passed","2026-08-17","","test_markers","",""
"","4219","Registration with correct email, username and password","LMS system","2026-08-17","passed","2026-08-17","Registration","Authentication","",""
"","2362","Create course","LMS system","2026-08-17","passed","2026-08-17","Courses","Courses","",""
"","2727","Verify that course can be successfully edited","LMS system","2026-08-17","passed","2026-08-17","Courses","Courses","",""
"","3974","Check displaying of empty courses list","LMS system","2026-08-17","passed","2026-08-17","Courses","Courses","",""
"","0","test_forgot_password_link","tests.pytest","2026-08-17","passed","2026-08-17","TestUserInterface","test_markers","",""
"","3779","User login with correct email and password","LMS system","2026-08-17","passed","2026-08-17","Authorization","Authentication","",""
"","2112","User login with wrong email or password","LMS system","2026-08-17","passed","2026-08-17","Authorization","Authentication","",""
"","1992","User login with wrong email or password","LMS system","2026-08-17","passed","2026-08-17","Authorization","Authentication","",""
"","0","test_critical_login","tests.pytest","2026-08-17","passed","2026-08-17","","test_markers","",""
