"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1274","Check displaying of empty courses list","LMS system","2026-08-18","passed","2026-08-18","Courses","Courses","",""
"","1529","User login with wrong email or password","LMS system","2026-08-18","passed","2026-08-18","Authorization","Authentication","",""
"","1416","User login with wrong email or password","LMS system","2026-08-18","passed","2026-08-18","Authorization","Authentication","",""
"","1371","Navigation from login page to registration page","LMS system","2026-08-18","passed","2026-08-18","Authorization","Authentication","",""
"","1697","Check displaying dashboard page","LMS system","2026-08-18","passed","2026-08-18","Dashboard","Dashboard","",""
"","2372","Verify that course can be successfully edited","LMS system","2026-08-18","passed","2026-08-18","Courses","Courses","",""
"","2975","User login with correct email and password","LMS system","2026-08-18","passed","2026-08-18","Authorization","Authentication","",""
"","1584","Registration with correct email, username and password","LMS system","2026-08-18","passed","2026-08-18","Registration","Authentication","",""
"","1789","Create course","LMS system","2026-08-18","passed","2026-08-18","Courses","Courses","",""
"","1651","User login with wrong email or password","LMS system","2026-08-18","passed","2026-08-18","Authorization","Authentication","",""
