"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_forgot_password_link","tests.pytest","2026-08-07","passed","2026-08-07","TestUserInterface","test_markers","",""
"","2147","Create course","LMS system","2026-08-07","passed","2026-08-07","Courses","Courses","",""
"","1869","Registration with correct email, username and password","LMS system","2026-08-07","passed","2026-08-07","Registration","Authentication","",""
"","2019","User login with wrong email or password","LMS system","2026-08-07","passed","2026-08-07","Authorization","Authentication","",""
"","1603","Navigation from login page to registration page","LMS system","2026-08-07","passed","2026-08-07","Authorization","Authentication","",""
"","0","test_critical_login","tests.pytest","2026-08-07","passed","2026-08-07","","test_markers","",""
"","3337","User login with correct email and password","LMS system","2026-08-07","passed","2026-08-07","Authorization","Authentication","",""
"","1629","User login with wrong email or password","LMS system","2026-08-07","passed","2026-08-07","Authorization","Authentication","",""
"","1","test_logout","tests.pytest","2026-08-07","passed","2026-08-07","TestUserAuthentication","test_markers","",""
"","1568","Check displaying of empty courses list","LMS system","2026-08-07","passed","2026-08-07","Courses","Courses","",""
"","1","test_password_reset","tests.pytest","2026-08-07","passed","2026-08-07","TestUserAuthentication","test_markers","",""
"","2212","Verify that course can be successfully edited","LMS system","2026-08-07","passed","2026-08-07","Courses","Courses","",""
"","0","test_regression_case","tests.pytest","2026-08-07","passed","2026-08-07","","test_markers","",""
"","1904","User login with wrong email or password","LMS system","2026-08-07","passed","2026-08-07","Authorization","Authentication","",""
"","0","test_login","tests.pytest","2026-08-07","passed","2026-08-07","TestUserAuthentication","test_markers","",""
"","1617","Check displaying dashboard page","LMS system","2026-08-07","passed","2026-08-07","Dashboard","Dashboard","",""
"","0","test_smoke_and_regression","tests.pytest","2026-08-07","passed","2026-08-07","","test_markers","",""
