"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_smoke_and_regression","tests.pytest","2026-08-06","passed","2026-08-06","","test_markers","",""
"","0","test_logout","tests.pytest","2026-08-06","passed","2026-08-06","TestUserAuthentication","test_markers","",""
"","1649","User login with wrong email or password","LMS system","2026-08-06","passed","2026-08-06","Authorization","Authentication","",""
"","0","test_critical_login","tests.pytest","2026-08-06","passed","2026-08-06","","test_markers","",""
"","0","test_password_reset","tests.pytest","2026-08-06","passed","2026-08-06","TestUserAuthentication","test_markers","",""
"","1885","User login with wrong email or password","LMS system","2026-08-06","passed","2026-08-06","Authorization","Authentication","",""
"","2164","Create course","LMS system","2026-08-06","passed","2026-08-06","Courses","Courses","",""
"","1596","Navigation from login page to registration page","LMS system","2026-08-06","passed","2026-08-06","Authorization","Authentication","",""
"","1734","Check displaying dashboard page","LMS system","2026-08-06","passed","2026-08-06","Dashboard","Dashboard","",""
"","1","test_login","tests.pytest","2026-08-06","passed","2026-08-06","TestUserAuthentication","test_markers","",""
"","0","test_regression_case","tests.pytest","2026-08-06","passed","2026-08-06","","test_markers","",""
"","1987","Registration with correct email, username and password","LMS system","2026-08-06","passed","2026-08-06","Registration","Authentication","",""
"","0","test_forgot_password_link","tests.pytest","2026-08-06","passed","2026-08-06","TestUserInterface","test_markers","",""
"","1536","Check displaying of empty courses list","LMS system","2026-08-06","passed","2026-08-06","Courses","Courses","",""
"","3383","User login with correct email and password","LMS system","2026-08-06","passed","2026-08-06","Authorization","Authentication","",""
"","2347","Verify that course can be successfully edited","LMS system","2026-08-06","passed","2026-08-06","Courses","Courses","",""
"","2069","User login with wrong email or password","LMS system","2026-08-06","passed","2026-08-06","Authorization","Authentication","",""
